day,week day,temperature_max,temperature_min,rain,snow,wind,sunrise,sunset,place
25 NOV,Sáb,16°,11°,0 mm,0 cm,17 km/h,08:16,18:12,Huelva
12 NOV,Hoy,20°,10°,0 mm,0 cm,6 km/h,07:51,18:06,Jaén
13 NOV,Mañ,22°,11°,0 mm,0 cm,5 km/h,07:52,18:05,Jaén
14 NOV,Mar,23°,13°,0 mm,0 cm,5 km/h,07:53,18:05,Jaén
15 NOV,Mié,24°,12°,0 mm,0 cm,5 km/h,07:55,18:04,Jaén
16 NOV,Jue,22°,13°,0 mm,0 cm,4 km/h,07:56,18:03,Jaén
17 NOV,Vie,22°,12°,0 mm,0 cm,6 km/h,07:57,18:02,Jaén
18 NOV,Sáb,22°,13°,0 mm,0 cm,4 km/h,07:58,18:02,Jaén
19 NOV,Dom,23°,13°,0 mm,0 cm,4 km/h,07:59,18:01,Jaén
20 NOV,Lun,21°,13°,0 mm,0 cm,5 km/h,08:00,18:01,Jaén
21 NOV,Mar,18°,10°,0 mm,0 cm,12 km/h,08:01,18:00,Jaén
22 NOV,Mié,15°,8°,0 mm,0 cm,10 km/h,08:02,17:59,Jaén
23 NOV,Jue,15°,8°,0 mm,0 cm,8 km/h,08:03,17:59,Jaén
24 NOV,Vie,15°,7°,0 mm,0 cm,14 km/h,08:04,17:59,Jaén
25 NOV,Sáb,12°,6°,5 mm,0 cm,10 km/h,08:05,17:58,Jaén
12 NOV,Hoy,18°,10°,0 mm,0 cm,21 km/h,07:46,17:50,Teruel
13 NOV,Mañ,20°,6°,0 mm,0 cm,6 km/h,07:47,17:49,Teruel
14 NOV,Mar,22°,8°,0 mm,0 cm,11 km/h,07:48,17:48,Teruel
15 NOV,Mié,18°,7°,0 mm,0 cm,8 km/h,07:50,17:47,Teruel
16 NOV,Jue,18°,8°,0 mm,0 cm,9 km/h,07:51,17:47,Teruel
17 NOV,Vie,16°,7°,0 mm,0 cm,7 km/h,07:52,17:46,Teruel
18 NOV,Sáb,20°,7°,0 mm,0 cm,4 km/h,07:53,17:45,Teruel
19 NOV,Dom,21°,8°,0 mm,0 cm,8 km/h,07:54,17:44,Teruel
20 NOV,Lun,20°,9°,0 mm,0 cm,10 km/h,07:55,17:44,Teruel
21 NOV,Mar,13°,5°,0 mm,0 cm,22 km/h,07:56,17:43,Teruel
22 NOV,Mié,10°,2°,0 mm,0 cm,29 km/h,07:58,17:42,Teruel
23 NOV,Jue,8°,2°,0 mm,0 cm,20 km/h,07:59,17:42,Teruel
24 NOV,Vie,12°,2°,0 mm,0 cm,19 km/h,08:00,17:41,Teruel
25 NOV,Sáb,7°,-1°,0 mm,0 cm,17 km/h,08:01,17:41,Teruel
12 NOV,Hoy,21°,15°,0 mm,0 cm,23 km/h,07:48,17:46,Zaragoza
13 NOV,Mañ,23°,13°,0 mm,0 cm,16 km/h,07:49,17:45,Zaragoza
14 NOV,Mar,23°,14°,0 mm,0 cm,18 km/h,07:51,17:44,Zaragoza
15 NOV,Mié,19°,13°,0 mm,0 cm,21 km/h,07:52,17:43,Zaragoza
16 NOV,Jue,20°,11°,0 mm,0 cm,17 km/h,07:53,17:43,Zaragoza
17 NOV,Vie,18°,11°,0 mm,0 cm,18 km/h,07:54,17:42,Zaragoza
18 NOV,Sáb,18°,9°,0 mm,0 cm,7 km/h,07:55,17:41,Zaragoza
19 NOV,Dom,17°,10°,0 mm,0 cm,8 km/h,07:57,17:40,Zaragoza
20 NOV,Lun,17°,9°,0 mm,0 cm,13 km/h,07:58,17:39,Zaragoza
21 NOV,Mar,15°,11°,0 mm,0 cm,25 km/h,07:59,17:39,Zaragoza
22 NOV,Mié,14°,8°,0 mm,0 cm,38 km/h,08:00,17:38,Zaragoza
23 NOV,Jue,11°,6°,0 mm,0 cm,36 km/h,08:01,17:37,Zaragoza
24 NOV,Vie,14°,5°,0 mm,0 cm,28 km/h,08:02,17:37,Zaragoza
25 NOV,Sáb,10°,5°,0 mm,0 cm,29 km/h,08:04,17:36,Zaragoza
12 NOV,Hoy,19°,12°,0 mm,0 cm,24 km/h,07:47,17:43,Huesca
13 NOV,Mañ,20°,11°,0 mm,0 cm,12 km/h,07:49,17:42,Huesca
14 NOV,Mar,20°,11°,0 mm,0 cm,16 km/h,07:50,17:41,Huesca
15 NOV,Mié,18°,11°,0 mm,0 cm,16 km/h,07:51,17:40,Huesca
16 NOV,Jue,19°,10°,0 mm,0 cm,17 km/h,07:52,17:39,Huesca
17 NOV,Vie,16°,7°,0 mm,0 cm,15 km/h,07:53,17:39,Huesca
18 NOV,Sáb,17°,7°,0 mm,0 cm,6 km/h,07:55,17:38,Huesca
19 NOV,Dom,18°,9°,0 mm,0 cm,7 km/h,07:56,17:37,Huesca
20 NOV,Lun,17°,10°,0 mm,0 cm,9 km/h,07:57,17:36,Huesca
21 NOV,Mar,14°,8°,0 mm,0 cm,23 km/h,07:58,17:36,Huesca
22 NOV,Mié,10°,7°,2 mm,0 cm,29 km/h,07:59,17:35,Huesca
23 NOV,Jue,9°,3°,0 mm,0 cm,19 km/h,08:01,17:34,Huesca
24 NOV,Vie,11°,3°,0 mm,0 cm,27 km/h,08:02,17:34,Huesca
25 NOV,Sáb,8°,2°,0 mm,0 cm,19 km/h,08:03,17:33,Huesca
12 NOV,Hoy,17°,12°,0 mm,0 cm,23 km/h,08:04,18:00,Palencia
13 NOV,Mañ,17°,12°,0 mm,0 cm,21 km/h,08:05,17:59,Palencia
14 NOV,Mar,17°,10°,0 mm,0 cm,22 km/h,08:06,17:58,Palencia
15 NOV,Mié,16°,12°,0 mm,0 cm,11 km/h,08:07,17:57,Palencia
16 NOV,Jue,17°,10°,0 mm,0 cm,15 km/h,08:08,17:56,Palencia
17 NOV,Vie,14°,7°,0 mm,0 cm,7 km/h,08:10,17:55,Palencia
18 NOV,Sáb,15°,6°,0 mm,0 cm,5 km/h,08:11,17:55,Palencia
19 NOV,Dom,16°,5°,0 mm,0 cm,7 km/h,08:12,17:54,Palencia
20 NOV,Lun,12°,5°,0 mm,0 cm,9 km/h,08:13,17:53,Palencia
21 NOV,Mar,11°,6°,0 mm,0 cm,24 km/h,08:14,17:52,Palencia
22 NOV,Mié,9°,2°,1 mm,0 cm,21 km/h,08:16,17:52,Palencia
23 NOV,Jue,7°,5°,0 mm,0 cm,13 km/h,08:17,17:51,Palencia
24 NOV,Vie,10°,4°,0 mm,0 cm,24 km/h,08:18,17:50,Palencia
25 NOV,Sáb,6°,-1°,0 mm,0 cm,16 km/h,08:19,17:50,Palencia
12 NOV,Hoy,17°,12°,1 mm,0 cm,22 km/h,08:06,18:07,Salamanca
13 NOV,Mañ,17°,10°,0 mm,0 cm,15 km/h,08:07,18:06,Salamanca
14 NOV,Mar,17°,9°,0 mm,0 cm,17 km/h,08:08,18:05,Salamanca
15 NOV,Mié,19°,10°,0 mm,0 cm,9 km/h,08:09,18:04,Salamanca
16 NOV,Jue,17°,9°,0 mm,0 cm,14 km/h,08:10,18:03,Salamanca
17 NOV,Vie,16°,8°,0 mm,0 cm,6 km/h,08:12,18:02,Salamanca
18 NOV,Sáb,18°,6°,0 mm,0 cm,7 km/h,08:13,18:02,Salamanca
19 NOV,Dom,18°,5°,0 mm,0 cm,8 km/h,08:14,18:01,Salamanca
20 NOV,Lun,17°,6°,0 mm,0 cm,11 km/h,08:15,18:00,Salamanca
21 NOV,Mar,10°,6°,0 mm,0 cm,19 km/h,08:16,18:00,Salamanca
22 NOV,Mié,10°,1°,0 mm,0 cm,18 km/h,08:17,17:59,Salamanca
23 NOV,Jue,10°,6°,0 mm,0 cm,12 km/h,08:18,17:58,Salamanca
24 NOV,Vie,10°,6°,0 mm,0 cm,23 km/h,08:20,17:58,Salamanca
25 NOV,Sáb,6°,0°,0 mm,0 cm,15 km/h,08:21,17:57,Salamanca
12 NOV,Hoy,16°,9°,0 mm,0 cm,20 km/h,08:01,18:04,Ávila
13 NOV,Mañ,18°,7°,0 mm,0 cm,6 km/h,08:02,18:03,Ávila
14 NOV,Mar,17°,7°,0 mm,0 cm,12 km/h,08:03,18:02,Ávila
15 NOV,Mié,17°,7°,0 mm,0 cm,11 km/h,08:05,18:01,Ávila
16 NOV,Jue,17°,8°,0 mm,0 cm,12 km/h,08:06,18:00,Ávila
17 NOV,Vie,16°,7°,0 mm,0 cm,6 km/h,08:07,17:59,Ávila
18 NOV,Sáb,18°,8°,0 mm,0 cm,6 km/h,08:08,17:59,Ávila
19 NOV,Dom,18°,8°,0 mm,0 cm,7 km/h,08:09,17:58,Ávila
20 NOV,Lun,17°,7°,0 mm,0 cm,8 km/h,08:10,17:57,Ávila
21 NOV,Mar,9°,5°,0 mm,0 cm,21 km/h,08:12,17:57,Ávila
22 NOV,Mié,9°,1°,0 mm,0 cm,23 km/h,08:13,17:56,Ávila
23 NOV,Jue,8°,4°,0 mm,0 cm,16 km/h,08:14,17:55,Ávila
24 NOV,Vie,9°,4°,1 mm,0 cm,22 km/h,08:15,17:55,Ávila
25 NOV,Sáb,4°,-1°,0 mm,0 cm,15 km/h,08:16,17:54,Ávila
12 NOV,Hoy,15°,11°,2 mm,0 cm,13 km/h,07:59,18:01,Segovia
13 NOV,Mañ,18°,9°,0 mm,0 cm,8 km/h,08:01,18:00,Segovia
14 NOV,Mar,16°,9°,0 mm,0 cm,9 km/h,08:02,17:59,Segovia
15 NOV,Mié,18°,9°,0 mm,0 cm,9 km/h,08:03,17:58,Segovia
16 NOV,Jue,16°,10°,0 mm,0 cm,10 km/h,08:04,17:57,Segovia
17 NOV,Vie,15°,8°,0 mm,0 cm,5 km/h,08:05,17:56,Segovia
18 NOV,Sáb,18°,9°,0 mm,0 cm,7 km/h,08:07,17:56,Segovia
19 NOV,Dom,19°,10°,0 mm,0 cm,6 km/h,08:08,17:55,Segovia
20 NOV,Lun,17°,9°,0 mm,0 cm,6 km/h,08:09,17:54,Segovia
21 NOV,Mar,8°,5°,1 mm,0 cm,18 km/h,08:10,17:54,Segovia
22 NOV,Mié,7°,2°,1 mm,0 cm,20 km/h,08:11,17:53,Segovia
23 NOV,Jue,7°,4°,1 mm,0 cm,12 km/h,08:12,17:52,Segovia
24 NOV,Vie,9°,4°,1 mm,0 cm,20 km/h,08:13,17:52,Segovia
25 NOV,Sáb,5°,-1°,0 mm,0 cm,14 km/h,08:15,17:51,Segovia
12 NOV,Hoy,15°,11°,0 mm,0 cm,27 km/h,08:01,17:56,Burgos
13 NOV,Mañ,16°,11°,0 mm,0 cm,24 km/h,08:02,17:55,Burgos
14 NOV,Mar,15°,10°,0 mm,0 cm,23 km/h,08:03,17:54,Burgos
15 NOV,Mié,16°,10°,0 mm,0 cm,17 km/h,08:05,17:53,Burgos
16 NOV,Jue,15°,9°,0 mm,0 cm,19 km/h,08:06,17:52,Burgos
17 NOV,Vie,13°,8°,0 mm,0 cm,12 km/h,08:07,17:51,Burgos
18 NOV,Sáb,15°,6°,0 mm,0 cm,14 km/h,08:08,17:50,Burgos
19 NOV,Dom,17°,6°,0 mm,0 cm,10 km/h,08:10,17:50,Burgos
20 NOV,Lun,14°,5°,0 mm,0 cm,13 km/h,08:11,17:49,Burgos
21 NOV,Mar,9°,5°,1 mm,0 cm,24 km/h,08:12,17:48,Burgos
22 NOV,Mié,7°,2°,2 mm,0 cm,16 km/h,08:13,17:47,Burgos
23 NOV,Jue,6°,4°,1 mm,0 cm,15 km/h,08:14,17:47,Burgos
24 NOV,Vie,9°,3°,0 mm,0 cm,27 km/h,08:16,17:46,Burgos
25 NOV,Sáb,4°,-1°,0 mm,0 cm,15 km/h,08:17,17:46,Burgos
12 NOV,Hoy,14°,10°,0 mm,0 cm,26 km/h,07:55,17:52,Soria
13 NOV,Mañ,16°,10°,0 mm,0 cm,21 km/h,07:56,17:51,Soria
14 NOV,Mar,15°,8°,0 mm,0 cm,26 km/h,07:57,17:50,Soria
15 NOV,Mié,16°,9°,0 mm,0 cm,15 km/h,07:58,17:49,Soria
16 NOV,Jue,14°,8°,0 mm,0 cm,17 km/h,08:00,17:49,Soria
17 NOV,Vie,14°,7°,0 mm,0 cm,13 km/h,08:01,17:48,Soria
18 NOV,Sáb,16°,7°,0 mm,0 cm,14 km/h,08:02,17:47,Soria
19 NOV,Dom,17°,7°,0 mm,0 cm,7 km/h,08:03,17:46,Soria
20 NOV,Lun,16°,7°,0 mm,0 cm,9 km/h,08:04,17:45,Soria
21 NOV,Mar,9°,5°,0 mm,0 cm,24 km/h,08:06,17:45,Soria
22 NOV,Mié,7°,2°,3 mm,0 cm,24 km/h,08:07,17:44,Soria
23 NOV,Jue,5°,2°,1 mm,0 cm,18 km/h,08:08,17:44,Soria
24 NOV,Vie,7°,3°,0 mm,0 cm,31 km/h,08:09,17:43,Soria
25 NOV,Sáb,3°,-1°,0 mm,0 cm,13 km/h,08:10,17:42,Soria
12 NOV,Hoy,18°,12°,0 mm,0 cm,24 km/h,08:03,18:01,Valladolid
13 NOV,Mañ,18°,12°,0 mm,0 cm,18 km/h,08:05,18:01,Valladolid
14 NOV,Mar,17°,9°,0 mm,0 cm,21 km/h,08:06,18:00,Valladolid
15 NOV,Mié,17°,11°,0 mm,0 cm,8 km/h,08:07,17:59,Valladolid
16 NOV,Jue,17°,11°,0 mm,0 cm,16 km/h,08:08,17:58,Valladolid
17 NOV,Vie,14°,9°,0 mm,0 cm,5 km/h,08:09,17:57,Valladolid
18 NOV,Sáb,15°,6°,0 mm,0 cm,6 km/h,08:11,17:56,Valladolid
19 NOV,Dom,15°,6°,0 mm,0 cm,6 km/h,08:12,17:55,Valladolid
20 NOV,Lun,12°,5°,0 mm,0 cm,8 km/h,08:13,17:55,Valladolid
21 NOV,Mar,11°,7°,0 mm,0 cm,21 km/h,08:14,17:54,Valladolid
22 NOV,Mié,10°,2°,0 mm,0 cm,20 km/h,08:15,17:53,Valladolid
23 NOV,Jue,9°,6°,0 mm,0 cm,13 km/h,08:17,17:53,Valladolid
24 NOV,Vie,11°,5°,0 mm,0 cm,23 km/h,08:18,17:52,Valladolid
25 NOV,Sáb,7°,0°,1 mm,0 cm,16 km/h,08:19,17:52,Valladolid
12 NOV,Hoy,18°,13°,0 mm,0 cm,23 km/h,08:07,18:06,Zamora
13 NOV,Mañ,18°,12°,0 mm,0 cm,22 km/h,08:08,18:05,Zamora
14 NOV,Mar,18°,11°,0 mm,0 cm,21 km/h,08:10,18:04,Zamora
15 NOV,Mié,18°,12°,0 mm,0 cm,11 km/h,08:11,18:03,Zamora
16 NOV,Jue,18°,10°,0 mm,0 cm,17 km/h,08:12,18:02,Zamora
17 NOV,Vie,15°,8°,0 mm,0 cm,6 km/h,08:13,18:02,Zamora
18 NOV,Sáb,17°,8°,0 mm,0 cm,7 km/h,08:14,18:01,Zamora
19 NOV,Dom,13°,6°,0 mm,0 cm,7 km/h,08:16,18:00,Zamora
20 NOV,Lun,13°,7°,0 mm,0 cm,11 km/h,08:17,17:59,Zamora
21 NOV,Mar,12°,7°,0 mm,0 cm,21 km/h,08:18,17:59,Zamora
22 NOV,Mié,10°,2°,0 mm,0 cm,20 km/h,08:19,17:58,Zamora
23 NOV,Jue,11°,6°,0 mm,0 cm,14 km/h,08:20,17:57,Zamora
24 NOV,Vie,11°,6°,0 mm,0 cm,27 km/h,08:21,17:57,Zamora
25 NOV,Sáb,8°,1°,0 mm,0 cm,17 km/h,08:23,17:56,Zamora
12 NOV,Hoy,15°,10°,0 mm,0 cm,20 km/h,08:09,18:03,León
13 NOV,Mañ,15°,10°,0 mm,0 cm,21 km/h,08:10,18:02,León
14 NOV,Mar,15°,10°,0 mm,0 cm,11 km/h,08:12,18:01,León
15 NOV,Mié,14°,7°,0 mm,0 cm,10 km/h,08:13,18:00,León
16 NOV,Jue,16°,7°,0 mm,0 cm,15 km/h,08:14,17:59,León
17 NOV,Vie,12°,6°,0 mm,0 cm,6 km/h,08:15,17:58,León
18 NOV,Sáb,12°,5°,0 mm,0 cm,5 km/h,08:17,17:57,León
19 NOV,Dom,14°,5°,0 mm,0 cm,6 km/h,08:18,17:56,León
20 NOV,Lun,12°,5°,0 mm,0 cm,11 km/h,08:19,17:56,León
21 NOV,Mar,9°,5°,0 mm,0 cm,18 km/h,08:20,17:55,León
22 NOV,Mié,9°,2°,2 mm,0 cm,14 km/h,08:21,17:54,León
23 NOV,Jue,7°,4°,1 mm,0 cm,10 km/h,08:23,17:54,León
24 NOV,Vie,9°,3°,0 mm,0 cm,21 km/h,08:24,17:53,León
25 NOV,Sáb,6°,-1°,0 mm,0 cm,13 km/h,08:25,17:52,León
12 NOV,Hoy,19°,12°,0 mm,0 cm,28 km/h,07:46,17:56,Albacete
13 NOV,Mañ,21°,10°,0 mm,0 cm,16 km/h,07:47,17:55,Albacete
14 NOV,Mar,23°,9°,0 mm,0 cm,18 km/h,07:48,17:54,Albacete
15 NOV,Mié,22°,8°,0 mm,0 cm,16 km/h,07:49,17:53,Albacete
16 NOV,Jue,22°,10°,0 mm,0 cm,11 km/h,07:51,17:53,Albacete
17 NOV,Vie,21°,8°,0 mm,0 cm,8 km/h,07:52,17:52,Albacete
18 NOV,Sáb,21°,8°,0 mm,0 cm,8 km/h,07:53,17:51,Albacete
19 NOV,Dom,22°,8°,0 mm,0 cm,12 km/h,07:54,17:51,Albacete
20 NOV,Lun,21°,10°,0 mm,0 cm,10 km/h,07:55,17:50,Albacete
21 NOV,Mar,18°,9°,0 mm,0 cm,22 km/h,07:56,17:49,Albacete
22 NOV,Mié,13°,4°,0 mm,0 cm,22 km/h,07:57,17:49,Albacete
23 NOV,Jue,13°,6°,0 mm,0 cm,26 km/h,07:58,17:48,Albacete
24 NOV,Vie,14°,5°,0 mm,0 cm,31 km/h,07:59,17:48,Albacete
25 NOV,Sáb,10°,3°,0 mm,0 cm,17 km/h,08:00,17:47,Albacete
12 NOV,Hoy,19°,14°,0 mm,0 cm,21 km/h,07:57,18:03,Toledo
13 NOV,Mañ,20°,13°,0 mm,0 cm,11 km/h,07:58,18:02,Toledo
14 NOV,Mar,18°,10°,0 mm,0 cm,11 km/h,07:59,18:01,Toledo
15 NOV,Mié,18°,10°,0 mm,0 cm,8 km/h,08:00,18:00,Toledo
16 NOV,Jue,19°,10°,0 mm,0 cm,7 km/h,08:01,17:59,Toledo
17 NOV,Vie,16°,10°,0 mm,0 cm,6 km/h,08:02,17:59,Toledo
18 NOV,Sáb,15°,9°,0 mm,0 cm,5 km/h,08:04,17:58,Toledo
19 NOV,Dom,16°,9°,0 mm,0 cm,5 km/h,08:05,17:57,Toledo
20 NOV,Lun,18°,9°,0 mm,0 cm,9 km/h,08:06,17:57,Toledo
21 NOV,Mar,15°,9°,0 mm,0 cm,17 km/h,08:07,17:56,Toledo
22 NOV,Mié,13°,4°,0 mm,0 cm,15 km/h,08:08,17:55,Toledo
23 NOV,Jue,13°,8°,0 mm,0 cm,20 km/h,08:09,17:55,Toledo
24 NOV,Vie,12°,7°,0 mm,0 cm,20 km/h,08:10,17:54,Toledo
